通用名,药品类别,性状,药理毒理,药代动力学,适应症,用法用量,不良反应,禁忌症,注意事项,孕妇及哺乳期妇女用药,儿童用药,老年患者用药,药物相互作用,药物过量,贮藏,包装,有效期
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
邻碘[131I]马尿酸钠注射液,放射性同位素药,本品为淡棕色澄明液体。,"本品静脉注射后，立即随血流进入肾脏并迅速被肾脏清除。其中80%由肾
小管分泌，无重吸收，20%由肾小球滤过，通过肾单位的邻碘马尿酸钠经集合管
随尿液冲刷至肾盏及肾盂，经输尿管排入膀胱，静脉注射后30分钟，尿中碘马
尿酸钠的量可达注入量的70%。", ,肾及泌尿系统功能的检查。,"肾功能检查：静脉注射185~370kBq（5~10Ci)，肾图仪描记15~20分钟，
病人无需准备。肾动态显像：静脉注射11.1~18.5MBq（0.3~0.5mCi)，正常时，
最初显示肾实质，随后周边影像渐消退，放射性集中到肾盂部位，15分钟左右，
肾盂影也明显变淡，放射性集中到膀胱。","本品偶见不良反应，受检者可出现冷汗、腰痛、重者可能虚脱，遇不良反
应，应停止注射，给以对症治疗。", ,"1.本品仅在具有《放射性药品使用许可证》的医疗单位使用。
2.近期内使用磺胺类药品、肾盂造影剂、扩张及收缩血管的药品及利尿剂者，
其肾功能检查将受影响。
", , , ,"尚不明确。
", ,置铅容器内，密闭保存。铅容器表面辐射水平应符合规定。,1，37MBq、 2，111MBq、 3，185MBq、 4，370MBq, 
